,frame.time,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.stream,tcp.seq,tcp.flags,http.request.method,http.host,http.request.full_uri,http.request.version,http.user_agent,http.request.uri.query.parameter,http.request.uri.query,http.server,http.response.code,http.response.phrase
344,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12392,80,1258,19287,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/vendor/lightbox2/dist/js/thereIsNoWayThat-You-CanBeThere.min.map,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
345,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12400,80,1266,8710,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/vendor/lightbox2/dist/js/lightbox-plus-jquery.min.js,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
346,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12393,80,1259,17948,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/vendor/lightbox2/dist/js/thereIsNoWayThat-You-CanBeThere.js,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
347,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12393,80,1259,18479,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/vendor/lightbox2/dist/js/lightbox-plus-jquery.min.map,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
348,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12398,80,1264,12167,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/vendor/lightbox2/dist/js/thereIsNoWayThat-You-CanBeThere.min.js,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
349,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12402,80,1267,3304,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/vendor/thereIsNoWayThat-You-CanBeThere.php,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
350,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12403,80,1268,2951,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/vendor/lightbox2/dist/js/lightbox.js,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
351,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12402,80,1267,4003,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/vendor/lightbox2/dist/js/thereIsNoWayThat-You-CanBeThere.min.map,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
352,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12398,80,1264,13360,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/vendor/lightbox2/dist/js/lightbox.min.js,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
353,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12396,80,1262,13607,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/vendor/lightbox2/dist/js/lightbox.min.map,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
354,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12397,80,1263,17745,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/vendor/bootstrap-4.1/thereIsNoWayThat-You-CanBeThere/,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
355,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12402,80,1267,4276,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/vendor/bootstrap-4.1/thereIsNoWayThat-You-CanBeThere.php,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
356,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12410,80,1274,1445,0x00000018,GET,192.168.43.182,http://192.168.43.182/icons/thereIsNoWayThat-You-CanBeThere/,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
357,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12406,80,1271,9466,0x00000018,GET,192.168.43.182,http://192.168.43.182/icons/thereIsNoWayThat-You-CanBeThere.php,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
358,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12409,80,1273,10850,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/vendor/slick/thereIsNoWayThat-You-CanBeThere.php,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
359,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12409,80,1273,15259,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/vendor/wow/thereIsNoWayThat-You-CanBeThere/,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
360,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12404,80,1269,22019,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/vendor/wow/thereIsNoWayThat-You-CanBeThere.php,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
361,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12416,80,1279,12266,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/index.php,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
362,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12420,80,1283,6793,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/vendor/animsition/thereIsNoWayThat-You-CanBeThere/,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
363,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12420,80,1283,7052,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/vendor/animsition/thereIsNoWayThat-You-CanBeThere.php,HTTP/1.1,DirBuster-0.12 (http://www.owasp.org/index.php/Category:OWASP_DirBuster_Project),-,-,-,-,-
364,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12429,80,1290,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/home.php,HTTP/1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36",-,-,-,-,-
365,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12430,80,1291,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36",-,-,-,-,-
366,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12430,80,1291,479,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/fonts/poppins/poppins-v5-latin-regular.woff2,HTTP/1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36",-,-,-,-,-
367,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12430,80,1291,936,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/fonts/poppins/poppins-v5-latin-regular.woff,HTTP/1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36",-,-,-,-,-
368,24-09-2019 11:07,6,192.168.43.202,192.168.43.182,12430,80,1291,1392,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/fonts/poppins/poppins-v5-latin-regular.ttf,HTTP/1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36",-,-,-,-,-
369,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12471,80,1294,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/robots.txt,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
370,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12472,80,1295,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
371,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12474,80,1297,1,0x00000018,POST,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
372,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12475,80,1299,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
373,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12476,80,1301,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
374,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12477,80,1303,1,0x00000018,POST,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
375,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12478,80,1305,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
376,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12479,80,1307,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
377,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12480,80,1309,1,0x00000018,POST,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
378,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12481,80,1311,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
379,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12482,80,1313,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
380,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12483,80,1315,1,0x00000018,POST,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
381,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12484,80,1317,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
382,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12485,80,1319,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
383,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12486,80,1321,1,0x00000018,POST,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
384,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12487,80,1323,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
385,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12488,80,1325,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
386,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12489,80,1327,1,0x00000018,POST,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
387,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12490,80,1329,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
388,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12491,80,1331,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
389,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12492,80,1333,1,0x00000018,POST,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
390,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12493,80,1335,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
391,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12494,80,1337,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
392,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12495,80,1339,1,0x00000018,POST,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
393,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12496,80,1341,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
394,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12497,80,1343,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
395,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12498,80,1345,1,0x00000018,POST,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
396,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12499,80,1347,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
397,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12500,80,1349,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
398,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12501,80,1351,1,0x00000018,POST,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
399,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12502,80,1353,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
400,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12503,80,1355,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
401,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12504,80,1357,1,0x00000018,POST,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
402,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12505,80,1359,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
403,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12506,80,1361,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
404,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12507,80,1363,1,0x00000018,POST,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
405,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12508,80,1365,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
406,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12509,80,1367,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
407,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12510,80,1369,1,0x00000018,POST,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
408,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12511,80,1371,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
409,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12512,80,1373,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
410,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12513,80,1375,1,0x00000018,POST,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
411,24-09-2019 11:13,6,192.168.43.202,192.168.43.182,12514,80,1377,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,Python-urllib/2.7,-,-,-,-,-
